Region,County,First Dose,Series Complete,Report as of
New York City,Richmond,395773,362956,03/17/2023
Capital Region,Rensselaer,120732,111526,03/17/2023
New York City,Queens,2234277,2004594,03/17/2023
Mid-Hudson,Putnam,84273,75489,03/17/2023
Mohawk Valley,Otsego,40961,38260,03/17/2023
Central New York,Oswego,80269,75493,03/17/2023
Finger Lakes,Orleans,24594,23142,03/17/2023
Mid-Hudson,Orange,268071,243574,03/17/2023
Finger Lakes,Ontario,86206,80960,03/17/2023
Central New York,Onondaga,373849,343215,03/17/2023
Capital Region,Albany,257405,234223,03/17/2023
Mohawk Valley,Oneida,158015,146637,03/17/2023
Western New York,Niagara,152333,142949,03/17/2023
New York City,New York,1673436,1429459,03/17/2023
Long Island,Nassau,1264423,1151375,03/17/2023
Mohawk Valley,Montgomery,35704,33682,03/17/2023
Finger Lakes,Monroe,593329,552330,03/17/2023
Central New York,Madison,55087,51498,03/17/2023
Finger Lakes,Livingston,40845,38657,03/17/2023
North Country,Lewis,14603,13879,03/17/2023
New York City,Kings,2126540,1914260,03/17/2023
North Country,Jefferson,76589,64320,03/17/2023
Mohawk Valley,Herkimer,37332,34988,03/17/2023
North Country,Hamilton,3569,3305,03/17/2023
Capital Region,Greene,32704,29744,03/17/2023
Finger Lakes,Genesee,38181,36038,03/17/2023
Mohawk Valley,Fulton,30513,28742,03/17/2023
North Country,Franklin,31530,29466,03/17/2023
North Country,Essex,28102,26213,03/17/2023
Western New York,Erie,724419,672315,03/17/2023
Mid-Hudson,Dutchess,234574,211023,03/17/2023
Southern Tier,Delaware,26896,24898,03/17/2023
Central New York,Cortland,30133,28432,03/17/2023
Capital Region,Columbia,46525,42393,03/17/2023
North Country,Clinton,60148,56299,03/17/2023
Southern Tier,Chenango,31637,29771,03/17/2023
Southern Tier,Chemung,50026,46921,03/17/2023
Western New York,Chautauqua,82784,76216,03/17/2023
Central New York,Cayuga,50331,47036,03/17/2023
Western New York,Cattaraugus,44461,41212,03/17/2023
Southern Tier,Broome,136916,127461,03/17/2023
New York City,Bronx,1238916,1099487,03/17/2023
Mohawk Valley,Schoharie,19611,18549,03/16/2023
Finger Lakes,Yates,14851,13865,03/16/2023
Finger Lakes,Wyoming,23575,22297,03/16/2023
Mid-Hudson,Westchester,895492,804373,03/16/2023
Finger Lakes,Wayne,66246,62395,03/16/2023
Capital Region,Washington,42216,40100,03/16/2023
Capital Region,Warren,52756,49710,03/16/2023
Mid-Hudson,Ulster,149726,136932,03/16/2023
Southern Tier,Tompkins,90459,82165,03/16/2023
Southern Tier,Tioga,25890,24500,03/16/2023
Mid-Hudson,Sullivan,51783,46812,03/16/2023
Long Island,Suffolk,1253041,1137302,03/16/2023
Southern Tier,Steuben,56651,53208,03/16/2023
North Country,St. Lawrence,75289,69894,03/16/2023
Finger Lakes,Seneca,19831,18564,03/16/2023
Southern Tier,Schuyler,11387,10544,03/16/2023
Capital Region,Schenectady,137803,127268,03/16/2023
Capital Region,Saratoga,190680,177817,03/16/2023
Mid-Hudson,Rockland,235785,211612,03/16/2023
New York City,Richmond,395742,362947,03/16/2023
Capital Region,Rensselaer,120727,111522,03/16/2023
New York City,Queens,2234168,2004510,03/16/2023
Mid-Hudson,Putnam,84269,75486,03/16/2023
Mohawk Valley,Otsego,40961,38259,03/16/2023
Central New York,Oswego,80267,75490,03/16/2023
Finger Lakes,Orleans,24593,23142,03/16/2023
Mid-Hudson,Orange,268063,243567,03/16/2023
Finger Lakes,Ontario,86203,80956,03/16/2023
Central New York,Onondaga,373836,343208,03/16/2023
Mohawk Valley,Oneida,158009,146630,03/16/2023
Western New York,Niagara,152331,142948,03/16/2023
New York City,New York,1673324,1429394,03/16/2023
Long Island,Nassau,1264377,1151342,03/16/2023
Mohawk Valley,Montgomery,35704,33680,03/16/2023
