Region,County,First Dose,Series Complete,Report as of
Finger Lakes,Ontario,32204,16740,03/17/2021
Central New York,Onondaga,137463,85106,03/17/2021
Mohawk Valley,Oneida,62640,38535,03/17/2021
Western New York,Niagara,47025,25477,03/17/2021
New York City,New York,440892,238254,03/17/2021
Long Island,Nassau,388812,223664,03/17/2021
Mohawk Valley,Montgomery,12745,6349,03/17/2021
Finger Lakes,Monroe,197362,102042,03/17/2021
Central New York,Madison,20799,11303,03/17/2021
Finger Lakes,Livingston,14485,8266,03/17/2021
North Country,Lewis,6083,3439,03/17/2021
New York City,Kings,434062,198193,03/17/2021
North Country,Jefferson,26568,14699,03/17/2021
Mohawk Valley,Herkimer,15462,9539,03/17/2021
North Country,Hamilton,2210,1555,03/17/2021
Capital Region,Greene,10384,4889,03/17/2021
Finger Lakes,Genesee,13032,7196,03/17/2021
Mohawk Valley,Fulton,10675,5646,03/17/2021
North Country,Franklin,15475,9182,03/17/2021
North Country,Essex,12694,7215,03/17/2021
Western New York,Erie,227764,124583,03/17/2021
Mid-Hudson,Dutchess,68762,31709,03/17/2021
Southern Tier,Delaware,8314,4233,03/17/2021
Central New York,Cortland,10818,5823,03/17/2021
Capital Region,Columbia,15957,7665,03/17/2021
North Country,Clinton,27780,16656,03/17/2021
Southern Tier,Chenango,10520,5638,03/17/2021
Southern Tier,Chemung,19389,11600,03/17/2021
Western New York,Chautauqua,30214,14649,03/17/2021
Central New York,Cayuga,19383,10984,03/17/2021
Western New York,Cattaraugus,16117,9336,03/17/2021
Southern Tier,Broome,51373,31569,03/17/2021
New York City,Bronx,192239,103569,03/17/2021
Western New York,Allegany,8332,4840,03/17/2021
Southern Tier,Chenango,10313,5554,03/16/2021
Finger Lakes,Yates,6374,3327,03/16/2021
Finger Lakes,Wyoming,7676,4276,03/16/2021
Mid-Hudson,Westchester,252309,135204,03/16/2021
Finger Lakes,Wayne,21809,10723,03/16/2021
Capital Region,Washington,13673,6494,03/16/2021
Capital Region,Warren,20525,10568,03/16/2021
Mid-Hudson,Ulster,45148,19790,03/16/2021
Southern Tier,Tompkins,26913,13332,03/16/2021
Southern Tier,Tioga,8909,4968,03/16/2021
Mid-Hudson,Sullivan,14022,7319,03/16/2021
Long Island,Suffolk,328961,178649,03/16/2021
Southern Tier,Steuben,17186,9190,03/16/2021
North Country,St. Lawrence,32880,21073,03/16/2021
Finger Lakes,Seneca,7536,3877,03/16/2021
Southern Tier,Schuyler,4398,2254,03/16/2021
Mohawk Valley,Schoharie,6307,2967,03/16/2021
Capital Region,Schenectady,44056,20867,03/16/2021
Capital Region,Saratoga,66225,34798,03/16/2021
Mid-Hudson,Rockland,73481,40826,03/16/2021
New York City,Richmond,109879,59991,03/16/2021
Capital Region,Rensselaer,39904,21463,03/16/2021
New York City,Queens,484107,219556,03/16/2021
Mid-Hudson,Putnam,25247,12735,03/16/2021
Mohawk Valley,Otsego,14761,8378,03/16/2021
Central New York,Oswego,27322,15953,03/16/2021
Finger Lakes,Orleans,7005,3410,03/16/2021
Mid-Hudson,Orange,67637,34029,03/16/2021
Finger Lakes,Ontario,30940,16535,03/16/2021
Central New York,Onondaga,135145,83012,03/16/2021
Mohawk Valley,Oneida,61489,38045,03/16/2021
Western New York,Niagara,45280,25106,03/16/2021
New York City,New York,433110,233355,03/16/2021
Long Island,Nassau,381206,218261,03/16/2021
Mohawk Valley,Montgomery,12564,6152,03/16/2021
Finger Lakes,Monroe,192794,100702,03/16/2021
Central New York,Madison,20226,11042,03/16/2021
Finger Lakes,Livingston,13930,8208,03/16/2021
North Country,Lewis,6051,3368,03/16/2021
New York City,Kings,426667,192383,03/16/2021
North Country,Jefferson,26394,14396,03/16/2021
Mohawk Valley,Herkimer,15134,9322,03/16/2021
North Country,Hamilton,2201,1524,03/16/2021
Capital Region,Greene,10263,4826,03/16/2021
Finger Lakes,Genesee,12814,7135,03/16/2021
Mohawk Valley,Fulton,10467,5498,03/16/2021
North Country,Franklin,15355,9066,03/16/2021
North Country,Essex,12512,7080,03/16/2021
Western New York,Erie,221692,122526,03/16/2021
Mid-Hudson,Dutchess,67077,31090,03/16/2021
Southern Tier,Delaware,8175,4041,03/16/2021
Central New York,Cortland,10523,5722,03/16/2021
Capital Region,Columbia,15291,7530,03/16/2021
North Country,Clinton,27560,16356,03/16/2021
Southern Tier,Chemung,18611,11244,03/16/2021
Western New York,Chautauqua,28208,14405,03/16/2021
Central New York,Cayuga,19150,10782,03/16/2021
Western New York,Cattaraugus,14955,8768,03/16/2021
Southern Tier,Broome,50413,30588,03/16/2021
New York City,Bronx,187812,100606,03/16/2021
Western New York,Allegany,8075,4626,03/16/2021
Capital Region,Albany,84979,44496,03/16/2021
New York City,Bronx,183277,97547,03/15/2021
Finger Lakes,Yates,6309,3300,03/15/2021
Finger Lakes,Wyoming,7586,4235,03/15/2021
Mid-Hudson,Westchester,247611,132682,03/15/2021
Finger Lakes,Wayne,21130,10549,03/15/2021
Capital Region,Washington,13479,6318,03/15/2021
Capital Region,Warren,20173,10285,03/15/2021
Mid-Hudson,Ulster,44479,19284,03/15/2021
Southern Tier,Tompkins,26630,12443,03/15/2021
Southern Tier,Tioga,8760,4760,03/15/2021
Mid-Hudson,Sullivan,13741,7245,03/15/2021
Long Island,Suffolk,320574,175227,03/15/2021
Southern Tier,Steuben,16861,8962,03/15/2021
North Country,St. Lawrence,32489,20650,03/15/2021
Finger Lakes,Seneca,7471,3779,03/15/2021
Southern Tier,Schuyler,4345,2205,03/15/2021
Capital Region,Albany,83129,43200,03/15/2021
Mohawk Valley,Schoharie,6181,2886,03/15/2021
Capital Region,Schenectady,43028,20108,03/15/2021
Capital Region,Saratoga,64827,33806,03/15/2021
Mid-Hudson,Rockland,71718,39494,03/15/2021
New York City,Richmond,108473,58661,03/15/2021
Capital Region,Rensselaer,39087,20968,03/15/2021
New York City,Queens,472144,214032,03/15/2021
Mid-Hudson,Putnam,24692,12510,03/15/2021
Mohawk Valley,Otsego,14479,8143,03/15/2021
Central New York,Oswego,27087,15606,03/15/2021
Finger Lakes,Orleans,6638,3388,03/15/2021
Mid-Hudson,Orange,64849,33511,03/15/2021
Finger Lakes,Ontario,30140,16271,03/15/2021
Central New York,Onondaga,133183,80393,03/15/2021
Mohawk Valley,Oneida,60650,37396,03/15/2021
Western New York,Niagara,44533,24833,03/15/2021
New York City,New York,425118,226949,03/15/2021
Long Island,Nassau,373534,213662,03/15/2021
Mohawk Valley,Montgomery,11608,6024,03/15/2021
Finger Lakes,Monroe,188400,99063,03/15/2021
Central New York,Madison,19728,10692,03/15/2021
Finger Lakes,Livingston,13715,8088,03/15/2021
North Country,Lewis,5996,3296,03/15/2021
New York City,Kings,415031,187995,03/15/2021
North Country,Jefferson,25766,14013,03/15/2021
Mohawk Valley,Herkimer,14893,9114,03/15/2021
North Country,Hamilton,2197,1514,03/15/2021
Capital Region,Greene,9923,4718,03/15/2021
Finger Lakes,Genesee,12629,7029,03/15/2021
Mohawk Valley,Fulton,10330,5422,03/15/2021
North Country,Franklin,15227,8821,03/15/2021
North Country,Essex,12419,6941,03/15/2021
Western New York,Erie,216745,119788,03/15/2021
Mid-Hudson,Dutchess,65629,30440,03/15/2021
Southern Tier,Delaware,8083,3831,03/15/2021
Central New York,Cortland,10418,5546,03/15/2021
Capital Region,Columbia,15064,7295,03/15/2021
Western New York,Allegany,7967,4546,03/15/2021
North Country,Clinton,27182,16013,03/15/2021
Southern Tier,Chenango,10190,5497,03/15/2021
Southern Tier,Chemung,18131,10793,03/15/2021
Western New York,Chautauqua,27624,14016,03/15/2021
Central New York,Cayuga,18984,10516,03/15/2021
Western New York,Cattaraugus,14557,8437,03/15/2021
Southern Tier,Broome,49239,29862,03/15/2021
Western New York,Niagara,43995,24435,03/14/2021
Finger Lakes,Yates,6270,3242,03/14/2021
Finger Lakes,Wyoming,7470,4160,03/14/2021
Mid-Hudson,Westchester,242767,130403,03/14/2021
Finger Lakes,Wayne,20932,10327,03/14/2021
Capital Region,Washington,13352,6211,03/14/2021
Capital Region,Warren,20010,10087,03/14/2021
Mid-Hudson,Ulster,43954,18747,03/14/2021
Southern Tier,Tompkins,26362,12153,03/14/2021
Southern Tier,Tioga,8511,4652,03/14/2021
Mid-Hudson,Sullivan,13608,7199,03/14/2021
Long Island,Suffolk,315282,171502,03/14/2021
Southern Tier,Steuben,16620,8825,03/14/2021
North Country,St. Lawrence,32199,20157,03/14/2021
Finger Lakes,Seneca,7419,3709,03/14/2021
Southern Tier,Schuyler,4303,2184,03/14/2021
Mohawk Valley,Schoharie,6096,2851,03/14/2021
Capital Region,Schenectady,42078,19589,03/14/2021
Capital Region,Saratoga,63998,33145,03/14/2021
Mid-Hudson,Rockland,70304,39120,03/14/2021
New York City,Richmond,107201,57417,03/14/2021
Capital Region,Rensselaer,38396,20650,03/14/2021
New York City,Queens,462947,209422,03/14/2021
Mid-Hudson,Putnam,24344,12274,03/14/2021
Mohawk Valley,Otsego,14375,8001,03/14/2021
Central New York,Oswego,26797,15159,03/14/2021
Finger Lakes,Orleans,6571,3366,03/14/2021
Mid-Hudson,Orange,63891,33136,03/14/2021
Finger Lakes,Ontario,29679,15968,03/14/2021
Central New York,Onondaga,131770,78282,03/14/2021
Mohawk Valley,Oneida,59386,36648,03/14/2021
New York City,New York,419473,222049,03/14/2021
Long Island,Nassau,368165,209499,03/14/2021
Mohawk Valley,Montgomery,11472,5922,03/14/2021
Finger Lakes,Monroe,184898,97043,03/14/2021
Central New York,Madison,19089,10333,03/14/2021
Finger Lakes,Livingston,13553,8024,03/14/2021
North Country,Lewis,5933,3229,03/14/2021
New York City,Kings,404739,183725,03/14/2021
North Country,Jefferson,25695,13586,03/14/2021
Mohawk Valley,Herkimer,14660,8914,03/14/2021
North Country,Hamilton,2192,1510,03/14/2021
Capital Region,Greene,9734,4632,03/14/2021
Finger Lakes,Genesee,12439,6912,03/14/2021
Mohawk Valley,Fulton,10100,5336,03/14/2021
North Country,Franklin,14934,8635,03/14/2021
North Country,Essex,12317,6765,03/14/2021
Western New York,Erie,213335,118265,03/14/2021
Mid-Hudson,Dutchess,64332,29550,03/14/2021
Southern Tier,Delaware,8030,3678,03/14/2021
Central New York,Cortland,10329,5410,03/14/2021
Capital Region,Columbia,14809,7147,03/14/2021
North Country,Clinton,26965,15586,03/14/2021
Southern Tier,Chenango,9976,5387,03/14/2021
Southern Tier,Chemung,17633,10331,03/14/2021
Western New York,Chautauqua,27393,13806,03/14/2021
Central New York,Cayuga,18859,10241,03/14/2021
Western New York,Cattaraugus,14424,8195,03/14/2021
Southern Tier,Broome,48005,29286,03/14/2021
New York City,Bronx,179810,95842,03/14/2021
Western New York,Allegany,7899,4457,03/14/2021
Capital Region,Albany,81449,42317,03/14/2021
Mohawk Valley,Oneida,58840,36238,03/13/2021
Finger Lakes,Yates,6183,3185,03/13/2021
Finger Lakes,Wyoming,7439,4121,03/13/2021
Mid-Hudson,Westchester,238496,127802,03/13/2021
Finger Lakes,Wayne,20708,10133,03/13/2021
Capital Region,Washington,13293,6101,03/13/2021
Capital Region,Warren,19935,9860,03/13/2021
Mid-Hudson,Ulster,42763,18495,03/13/2021
Southern Tier,Tompkins,25924,12000,03/13/2021
Southern Tier,Tioga,8384,4547,03/13/2021
Mid-Hudson,Sullivan,13417,7144,03/13/2021
Long Island,Suffolk,310491,168193,03/13/2021
Southern Tier,Steuben,15897,8451,03/13/2021
North Country,St. Lawrence,32034,19891,03/13/2021
Finger Lakes,Seneca,7269,3658,03/13/2021
Southern Tier,Schuyler,4216,2137,03/13/2021
Mohawk Valley,Schoharie,5534,2821,03/13/2021
Capital Region,Schenectady,41342,19150,03/13/2021
Capital Region,Saratoga,63318,32537,03/13/2021
Mid-Hudson,Rockland,69587,38491,03/13/2021
New York City,Richmond,104628,55867,03/13/2021
Capital Region,Rensselaer,37731,20378,03/13/2021
New York City,Queens,450156,201562,03/13/2021
Mid-Hudson,Putnam,24107,12107,03/13/2021
Mohawk Valley,Otsego,14200,7881,03/13/2021
Central New York,Oswego,26581,14987,03/13/2021
Finger Lakes,Orleans,6539,3335,03/13/2021
Mid-Hudson,Orange,63305,32489,03/13/2021
Finger Lakes,Ontario,29375,15751,03/13/2021
Central New York,Onondaga,130115,76663,03/13/2021
Western New York,Niagara,43397,24104,03/13/2021
New York City,New York,412425,215205,03/13/2021
Long Island,Nassau,363073,204327,03/13/2021
Mohawk Valley,Montgomery,11341,5871,03/13/2021
Finger Lakes,Monroe,181857,94776,03/13/2021
Central New York,Madison,18922,10172,03/13/2021
Finger Lakes,Livingston,13455,7961,03/13/2021
North Country,Lewis,5877,3217,03/13/2021
New York City,Kings,394252,177713,03/13/2021
North Country,Jefferson,25574,13383,03/13/2021
Mohawk Valley,Herkimer,14571,8817,03/13/2021
North Country,Hamilton,2179,1503,03/13/2021
Capital Region,Greene,9262,4471,03/13/2021
Finger Lakes,Genesee,12363,6847,03/13/2021
Mohawk Valley,Fulton,10005,5281,03/13/2021
North Country,Franklin,14848,8513,03/13/2021
North Country,Essex,12249,6689,03/13/2021
Western New York,Erie,210087,116395,03/13/2021
Mid-Hudson,Dutchess,63297,29022,03/13/2021
Southern Tier,Delaware,7951,3598,03/13/2021
Central New York,Cortland,10222,5380,03/13/2021
Capital Region,Columbia,14683,7021,03/13/2021
North Country,Clinton,26731,15400,03/13/2021
Southern Tier,Chenango,9935,5358,03/13/2021
Southern Tier,Chemung,16251,9585,03/13/2021
Western New York,Chautauqua,27008,13743,03/13/2021
Central New York,Cayuga,18639,10049,03/13/2021
Western New York,Cattaraugus,14370,8140,03/13/2021
Southern Tier,Broome,47305,28808,03/13/2021
New York City,Bronx,176613,94396,03/13/2021
Western New York,Allegany,7873,4431,03/13/2021
Capital Region,Albany,80204,41562,03/13/2021
Western New York,Allegany,7747,4407,03/12/2021
Finger Lakes,Yates,6028,3146,03/12/2021
Finger Lakes,Wyoming,7386,4083,03/12/2021
Mid-Hudson,Westchester,233448,125162,03/12/2021
Finger Lakes,Wayne,20371,9932,03/12/2021
Capital Region,Washington,12776,5843,03/12/2021
Capital Region,Warren,18925,9514,03/12/2021
Mid-Hudson,Ulster,42147,18017,03/12/2021
Southern Tier,Tompkins,25573,11638,03/12/2021
Southern Tier,Tioga,8292,4450,03/12/2021
Mid-Hudson,Sullivan,13005,7027,03/12/2021
Long Island,Suffolk,305219,164069,03/12/2021
Southern Tier,Steuben,15519,8384,03/12/2021
North Country,St. Lawrence,31823,19679,03/12/2021
Finger Lakes,Seneca,7229,3613,03/12/2021
Southern Tier,Schuyler,4178,2130,03/12/2021
Mohawk Valley,Schoharie,5455,2779,03/12/2021
Capital Region,Schenectady,40700,18678,03/12/2021
Capital Region,Saratoga,62323,31804,03/12/2021
Mid-Hudson,Rockland,68412,37726,03/12/2021
New York City,Richmond,102298,54497,03/12/2021
Capital Region,Rensselaer,37127,20104,03/12/2021
New York City,Queens,436397,194812,03/12/2021
Mid-Hudson,Putnam,23799,11871,03/12/2021
Mohawk Valley,Otsego,14018,7725,03/12/2021
Central New York,Oswego,25908,14820,03/12/2021
Finger Lakes,Orleans,6426,3300,03/12/2021
Mid-Hudson,Orange,62212,32109,03/12/2021
Finger Lakes,Ontario,28898,15432,03/12/2021
Central New York,Onondaga,128575,75442,03/12/2021
Capital Region,Albany,78816,40766,03/12/2021
Mohawk Valley,Oneida,58049,35433,03/12/2021
Western New York,Niagara,42513,23652,03/12/2021
New York City,New York,403387,210416,03/12/2021
Long Island,Nassau,355348,199200,03/12/2021
Mohawk Valley,Montgomery,11141,5806,03/12/2021
Finger Lakes,Monroe,177147,92345,03/12/2021
Central New York,Madison,18722,10001,03/12/2021
Finger Lakes,Livingston,13235,7876,03/12/2021
North Country,Lewis,5791,3202,03/12/2021
New York City,Kings,383293,172548,03/12/2021
North Country,Jefferson,25324,13233,03/12/2021
Mohawk Valley,Herkimer,14293,8614,03/12/2021
North Country,Hamilton,2169,1502,03/12/2021
Capital Region,Greene,9164,4400,03/12/2021
Finger Lakes,Genesee,12233,6719,03/12/2021
Mohawk Valley,Fulton,9899,5224,03/12/2021
North Country,Franklin,14736,8426,03/12/2021
North Country,Essex,12162,6610,03/12/2021
Western New York,Erie,204820,114128,03/12/2021
Mid-Hudson,Dutchess,61641,28099,03/12/2021
Southern Tier,Delaware,7871,3482,03/12/2021
Central New York,Cortland,10031,5314,03/12/2021
Capital Region,Columbia,14531,6891,03/12/2021
North Country,Clinton,26544,15192,03/12/2021
Southern Tier,Chenango,9480,5174,03/12/2021
Southern Tier,Chemung,15636,9515,03/12/2021
Western New York,Chautauqua,26797,13557,03/12/2021
Central New York,Cayuga,18377,9918,03/12/2021
Western New York,Cattaraugus,14214,7998,03/12/2021
Southern Tier,Broome,46867,28187,03/12/2021
New York City,Bronx,171966,92552,03/12/2021
Western New York,Niagara,41679,23345,03/11/2021
Finger Lakes,Yates,5962,3047,03/11/2021
Finger Lakes,Wyoming,7237,3961,03/11/2021
Mid-Hudson,Westchester,227087,122588,03/11/2021
Finger Lakes,Wayne,19654,9727,03/11/2021
Capital Region,Washington,12590,5713,03/11/2021
Capital Region,Warren,18598,9233,03/11/2021
Mid-Hudson,Ulster,41667,17693,03/11/2021
Southern Tier,Tompkins,25135,11458,03/11/2021
Southern Tier,Tioga,8178,4317,03/11/2021
Mid-Hudson,Sullivan,12516,6812,03/11/2021
Long Island,Suffolk,297290,159336,03/11/2021
Southern Tier,Steuben,15212,8140,03/11/2021
North Country,St. Lawrence,31183,19186,03/11/2021
Finger Lakes,Seneca,6898,3477,03/11/2021
Southern Tier,Schuyler,4134,2034,03/11/2021
Mohawk Valley,Schoharie,5344,2652,03/11/2021
Capital Region,Schenectady,38807,18134,03/11/2021
Capital Region,Saratoga,60970,30908,03/11/2021
Mid-Hudson,Rockland,67058,37120,03/11/2021
New York City,Richmond,98977,53024,03/11/2021
Capital Region,Rensselaer,36267,19322,03/11/2021
New York City,Queens,419780,188951,03/11/2021
Mid-Hudson,Putnam,22906,11137,03/11/2021
Mohawk Valley,Otsego,13833,7518,03/11/2021
Central New York,Oswego,25256,14585,03/11/2021
Finger Lakes,Orleans,6277,3255,03/11/2021
Mid-Hudson,Orange,60606,31597,03/11/2021
Finger Lakes,Ontario,28169,14934,03/11/2021
Central New York,Onondaga,125818,73788,03/11/2021
Mohawk Valley,Oneida,57272,34338,03/11/2021
New York City,New York,390649,205398,03/11/2021
Long Island,Nassau,346696,193853,03/11/2021
Mohawk Valley,Montgomery,10971,5656,03/11/2021
Finger Lakes,Monroe,171501,89606,03/11/2021
Central New York,Madison,17955,9750,03/11/2021
Finger Lakes,Livingston,12667,7710,03/11/2021
North Country,Lewis,5299,3104,03/11/2021
New York City,Kings,367791,167012,03/11/2021
North Country,Jefferson,23787,13040,03/11/2021
Mohawk Valley,Herkimer,13959,8442,03/11/2021
North Country,Hamilton,2113,1444,03/11/2021
Capital Region,Greene,8788,4280,03/11/2021
Finger Lakes,Genesee,11690,6485,03/11/2021
Mohawk Valley,Fulton,9724,5079,03/11/2021
North Country,Franklin,14464,8154,03/11/2021
North Country,Essex,11695,6430,03/11/2021
Western New York,Erie,198052,111862,03/11/2021
Mid-Hudson,Dutchess,59673,27464,03/11/2021
Southern Tier,Delaware,7761,3258,03/11/2021
Central New York,Cortland,9892,5235,03/11/2021
Capital Region,Columbia,13987,6529,03/11/2021
North Country,Clinton,26186,14661,03/11/2021
Southern Tier,Chenango,9304,4869,03/11/2021
Southern Tier,Chemung,14939,8944,03/11/2021
Western New York,Chautauqua,25843,13142,03/11/2021
Central New York,Cayuga,17609,9734,03/11/2021
Western New York,Cattaraugus,13876,7862,03/11/2021
Southern Tier,Broome,46290,27358,03/11/2021
New York City,Bronx,164663,89765,03/11/2021
Western New York,Allegany,7464,4196,03/11/2021
Capital Region,Albany,76560,39570,03/11/2021
Mohawk Valley,Oneida,56198,33369,03/10/2021
Finger Lakes,Yates,5782,2754,03/10/2021
Finger Lakes,Wyoming,7099,3869,03/10/2021
Mid-Hudson,Westchester,221406,119117,03/10/2021
Finger Lakes,Wayne,18826,9019,03/10/2021
Capital Region,Washington,12311,5544,03/10/2021
Capital Region,Warren,18124,8930,03/10/2021
Mid-Hudson,Ulster,40656,17072,03/10/2021
Southern Tier,Tompkins,23759,11330,03/10/2021
Southern Tier,Tioga,8008,4165,03/10/2021
Mid-Hudson,Sullivan,11676,6309,03/10/2021
Long Island,Suffolk,288628,154262,03/10/2021
Southern Tier,Steuben,14977,7998,03/10/2021
North Country,St. Lawrence,30618,18919,03/10/2021
Finger Lakes,Seneca,6774,3435,03/10/2021
Southern Tier,Schuyler,4091,1973,03/10/2021
Mohawk Valley,Schoharie,5230,2559,03/10/2021
Capital Region,Schenectady,38091,17605,03/10/2021
Capital Region,Saratoga,59543,29745,03/10/2021
Mid-Hudson,Rockland,65270,35877,03/10/2021
New York City,Richmond,96418,51659,03/10/2021
Capital Region,Rensselaer,35304,18887,03/10/2021
New York City,Queens,405986,183371,03/10/2021
Mid-Hudson,Putnam,22130,10715,03/10/2021
Mohawk Valley,Otsego,13553,7350,03/10/2021
Central New York,Oswego,24720,14124,03/10/2021
Finger Lakes,Orleans,5987,3134,03/10/2021
Mid-Hudson,Orange,57646,30537,03/10/2021
Finger Lakes,Ontario,27297,14138,03/10/2021
Central New York,Onondaga,122703,71961,03/10/2021
Western New York,Niagara,39632,22812,03/10/2021
New York City,New York,380333,200260,03/10/2021
Long Island,Nassau,338840,189023,03/10/2021
Mohawk Valley,Montgomery,10541,5514,03/10/2021
Finger Lakes,Monroe,166986,87323,03/10/2021
Central New York,Madison,17466,9489,03/10/2021
Finger Lakes,Livingston,12267,7468,03/10/2021
North Country,Lewis,5179,3083,03/10/2021
New York City,Kings,355047,162048,03/10/2021
North Country,Jefferson,23086,12546,03/10/2021
Mohawk Valley,Herkimer,13664,8205,03/10/2021
North Country,Hamilton,2059,1407,03/10/2021
Capital Region,Greene,8631,4080,03/10/2021
Finger Lakes,Genesee,11509,6372,03/10/2021
Mohawk Valley,Fulton,9293,4926,03/10/2021
North Country,Franklin,14000,7863,03/10/2021
North Country,Essex,11250,6299,03/10/2021
Western New York,Erie,191472,110093,03/10/2021
Mid-Hudson,Dutchess,57066,26564,03/10/2021
Southern Tier,Delaware,7508,3199,03/10/2021
Central New York,Cortland,9609,5175,03/10/2021
Capital Region,Columbia,13555,6297,03/10/2021
North Country,Clinton,25058,14256,03/10/2021
Southern Tier,Chenango,9187,4708,03/10/2021
Southern Tier,Chemung,14378,8851,03/10/2021
Western New York,Chautauqua,25210,12262,03/10/2021
Central New York,Cayuga,17306,9377,03/10/2021
Western New York,Cattaraugus,13493,7403,03/10/2021
Southern Tier,Broome,45585,26186,03/10/2021
New York City,Bronx,158333,87077,03/10/2021
Western New York,Allegany,7270,4055,03/10/2021
Capital Region,Albany,74308,38072,03/10/2021
New York City,Bronx,153116,84621,03/09/2021
Finger Lakes,Yates,5645,2647,03/09/2021
Finger Lakes,Wyoming,6802,3704,03/09/2021
Mid-Hudson,Westchester,215062,115492,03/09/2021
Finger Lakes,Wayne,17792,8853,03/09/2021
Capital Region,Washington,11988,5321,03/09/2021
Capital Region,Warren,17605,8496,03/09/2021
Mid-Hudson,Ulster,39477,16497,03/09/2021
Southern Tier,Tompkins,23297,10911,03/09/2021
Southern Tier,Tioga,7893,4053,03/09/2021
Mid-Hudson,Sullivan,11330,5953,03/09/2021
Long Island,Suffolk,280193,149656,03/09/2021
Southern Tier,Steuben,14389,7338,03/09/2021
North Country,St. Lawrence,30048,18541,03/09/2021
Finger Lakes,Seneca,6680,3360,03/09/2021
Southern Tier,Schuyler,3887,1905,03/09/2021
Mohawk Valley,Schoharie,5057,2478,03/09/2021
Capital Region,Schenectady,37114,17174,03/09/2021
Capital Region,Saratoga,58095,28815,03/09/2021
Mid-Hudson,Rockland,62828,34482,03/09/2021
New York City,Richmond,94591,51033,03/09/2021
Capital Region,Rensselaer,34465,18532,03/09/2021
New York City,Queens,394506,179548,03/09/2021
Mid-Hudson,Putnam,21621,10324,03/09/2021
Mohawk Valley,Otsego,13234,7206,03/09/2021
Central New York,Oswego,24266,13729,03/09/2021
Finger Lakes,Orleans,5838,3097,03/09/2021
Mid-Hudson,Orange,55753,29432,03/09/2021
Finger Lakes,Ontario,26351,13866,03/09/2021
Central New York,Onondaga,119379,69760,03/09/2021
Western New York,Allegany,7213,3913,03/09/2021
Mohawk Valley,Oneida,55069,32223,03/09/2021
Capital Region,Albany,71982,36849,03/09/2021
Western New York,Niagara,38246,22091,03/09/2021
New York City,New York,370433,195049,03/09/2021
Long Island,Nassau,331504,184332,03/09/2021
Mohawk Valley,Montgomery,10340,5315,03/09/2021
Finger Lakes,Monroe,160697,85693,03/09/2021
Central New York,Madison,17005,8981,03/09/2021
Finger Lakes,Livingston,12013,7234,03/09/2021
North Country,Lewis,5097,3009,03/09/2021
New York City,Kings,343959,158584,03/09/2021
North Country,Jefferson,21897,12318,03/09/2021
Mohawk Valley,Herkimer,13418,7862,03/09/2021
North Country,Hamilton,2010,1384,03/09/2021
Capital Region,Greene,8440,3976,03/09/2021
Finger Lakes,Genesee,11279,6276,03/09/2021
Mohawk Valley,Fulton,8966,4798,03/09/2021
North Country,Franklin,13776,7628,03/09/2021
North Country,Essex,10979,6117,03/09/2021
Western New York,Erie,186170,107892,03/09/2021
Mid-Hudson,Dutchess,55193,25244,03/09/2021
Southern Tier,Delaware,7377,3098,03/09/2021
Central New York,Cortland,9387,4628,03/09/2021
Capital Region,Columbia,13335,6181,03/09/2021
North Country,Clinton,24640,13998,03/09/2021
Southern Tier,Chenango,8635,4493,03/09/2021
Southern Tier,Chemung,13849,8360,03/09/2021
Western New York,Chautauqua,24774,11826,03/09/2021
Central New York,Cayuga,16992,9112,03/09/2021
Western New York,Cattaraugus,13063,7083,03/09/2021
Southern Tier,Broome,44718,25509,03/09/2021
Capital Region,Albany,69788,36161,03/08/2021
Finger Lakes,Yates,5555,2587,03/08/2021
Finger Lakes,Wyoming,6224,3605,03/08/2021
Mid-Hudson,Westchester,207697,111914,03/08/2021
Finger Lakes,Wayne,16741,8614,03/08/2021
Capital Region,Washington,11675,5216,03/08/2021
Capital Region,Warren,17145,8254,03/08/2021
Mid-Hudson,Ulster,38732,16109,03/08/2021
Southern Tier,Tompkins,22873,10504,03/08/2021
Southern Tier,Tioga,7769,3943,03/08/2021
Mid-Hudson,Sullivan,10995,5861,03/08/2021
Long Island,Suffolk,272827,144967,03/08/2021
Southern Tier,Steuben,13436,7081,03/08/2021
North Country,St. Lawrence,29546,17980,03/08/2021
Finger Lakes,Seneca,6585,3262,03/08/2021
Southern Tier,Schuyler,3790,1875,03/08/2021
Mohawk Valley,Schoharie,4745,2420,03/08/2021
Capital Region,Schenectady,35540,16837,03/08/2021
Capital Region,Saratoga,56305,28217,03/08/2021
Mid-Hudson,Rockland,61068,33674,03/08/2021
New York City,Richmond,92999,49774,03/08/2021
Capital Region,Rensselaer,33531,18278,03/08/2021
New York City,Queens,383870,176167,03/08/2021
Mid-Hudson,Putnam,20490,10001,03/08/2021
Mohawk Valley,Otsego,13000,6932,03/08/2021
Central New York,Oswego,23749,13263,03/08/2021
Finger Lakes,Orleans,5580,3028,03/08/2021
Mid-Hudson,Orange,54545,28137,03/08/2021
Finger Lakes,Ontario,25695,13526,03/08/2021
Central New York,Onondaga,115466,66843,03/08/2021
Mohawk Valley,Oneida,54248,31097,03/08/2021
Western New York,Niagara,37173,21499,03/08/2021
New York City,New York,359321,190307,03/08/2021
Long Island,Nassau,322639,179724,03/08/2021
Mohawk Valley,Montgomery,10156,5187,03/08/2021
Finger Lakes,Monroe,155007,84082,03/08/2021
Central New York,Madison,16590,8481,03/08/2021
